,0,1,2,3,4,5,6,7
0,9001695_10098606,0,29.0,82.0,56.0,136.0,258.0,363.0
0,9001695_10098606,1,32.0,124.0,79.0,136.0,258.0,363.0
0,9001695_10098606,2,29.0,224.0,144.0,128.0,254.0,263.0
0,9001695_10098606,3,45.0,82.0,56.0,100.0,168.0,97.0
0,9001897_10350423,0,25.0,73.0,58.0,148.0,245.0,272.0
0,9001897_10350423,1,25.0,110.0,70.0,148.0,233.0,272.0
0,9001897_10350423,2,28.0,213.0,131.0,146.0,245.0,261.0
0,9001897_10350423,3,46.0,73.0,58.0,116.0,165.0,87.0
0,9003406_10296205,0,16.0,59.0,36.0,142.0,255.0,274.0
0,9003406_10296205,1,16.0,115.0,36.0,142.0,245.0,274.0
0,9003406_10296205,2,18.0,219.0,127.0,135.0,255.0,258.0
0,9003406_10296205,3,24.0,59.0,50.0,101.0,163.0,85.0
0,9004184_10313202,0,16.0,44.0,40.0,143.0,369.0,381.0
0,9004184_10313202,1,17.0,78.0,40.0,143.0,369.0,381.0
0,9004184_10313202,2,16.0,198.0,135.0,132.0,244.0,262.0
0,9004184_10313202,3,35.0,44.0,63.0,105.0,141.0,95.0
0,9004462_10680103,0,18.0,75.0,64.0,124.0,369.0,381.0
0,9004462_10680103,1,22.0,113.0,84.0,124.0,369.0,381.0
0,9004462_10680103,2,18.0,197.0,136.0,118.0,227.0,248.0
0,9004462_10680103,3,33.0,75.0,64.0,90.0,160.0,97.0
0,9004905_10129106,0,28.0,100.0,41.0,140.0,379.0,381.0
0,9004905_10129106,1,29.0,126.0,41.0,140.0,379.0,381.0
0,9004905_10129106,2,28.0,217.0,146.0,135.0,250.0,263.0
0,9004905_10129106,3,47.0,100.0,50.0,113.0,183.0,91.0
0,9005413_10300106,0,26.0,75.0,79.0,126.0,243.0,287.0
0,9005413_10300106,1,26.0,122.0,90.0,126.0,230.0,287.0
0,9005413_10300106,2,26.0,212.0,168.0,123.0,243.0,283.0
0,9005413_10300106,3,38.0,75.0,79.0,96.0,148.0,110.0
0,9006723_10326814,0,17.0,79.0,50.0,134.0,254.0,268.0
0,9006723_10326814,1,19.0,116.0,70.0,134.0,246.0,263.0
0,9006723_10326814,2,17.0,209.0,138.0,128.0,254.0,268.0
0,9006723_10326814,3,36.0,79.0,50.0,99.0,176.0,84.0
0,9008561_10280106,0,13.0,83.0,71.0,158.0,259.0,316.0
0,9008561_10280106,1,13.0,83.0,88.0,158.0,259.0,316.0
0,9008561_10280106,2,31.0,213.0,151.0,128.0,245.0,257.0
0,9008561_10280106,3,44.0,99.0,71.0,103.0,176.0,105.0
0,9009067_10287106,0,15.0,82.0,2.0,152.0,340.0,381.0
0,9009067_10287106,1,15.0,116.0,2.0,152.0,340.0,381.0
0,9009067_10287106,2,26.0,204.0,147.0,124.0,243.0,249.0
0,9009067_10287106,3,57.0,82.0,73.0,110.0,161.0,107.0
0,9009716_10308306,0,25.0,94.0,82.0,147.0,230.0,273.0
0,9009716_10308306,1,25.0,124.0,92.0,147.0,224.0,273.0
0,9009716_10308306,2,25.0,202.0,156.0,124.0,230.0,264.0
0,9009716_10308306,3,43.0,94.0,82.0,101.0,176.0,117.0
0,9010060_10279506,0,18.0,75.0,58.0,147.0,234.0,300.0
0,9010060_10279506,1,22.0,91.0,75.0,147.0,225.0,300.0
0,9010060_10279506,2,18.0,200.0,145.0,144.0,234.0,282.0
0,9010060_10279506,3,44.0,75.0,58.0,120.0,163.0,101.0
0,9011053_10736906,0,23.0,74.0,59.0,150.0,246.0,293.0
0,9011053_10736906,1,26.0,103.0,75.0,150.0,239.0,293.0
0,9011053_10736906,2,23.0,216.0,138.0,145.0,246.0,282.0
0,9011053_10736906,3,41.0,74.0,59.0,116.0,172.0,96.0
0,9016179_10314203,0,23.0,33.0,68.0,151.0,246.0,281.0
0,9016179_10314203,1,26.0,33.0,79.0,151.0,235.0,274.0
0,9016179_10314203,2,23.0,208.0,151.0,136.0,246.0,281.0
0,9016179_10314203,3,39.0,48.0,68.0,106.0,146.0,97.0
0,9017252_10306506,0,25.0,94.0,76.0,127.0,254.0,260.0
