,0,1,2,3,4,5,6,7
0,09422.nii.gz,0,12.0,8.0,55.0,116.0,239.0,391.0
0,09422.nii.gz,1,13.0,92.0,101.0,111.0,215.0,296.0
0,09422.nii.gz,2,12.0,8.0,55.0,116.0,239.0,391.0
0,09422.nii.gz,3,65.0,67.0,96.0,111.0,150.0,117.0
0,03809.nii.gz,0,6.0,8.0,88.0,117.0,231.0,368.0
0,03809.nii.gz,1,16.0,120.0,89.0,107.0,217.0,252.0
0,03809.nii.gz,2,6.0,8.0,125.0,117.0,231.0,368.0
0,03809.nii.gz,3,61.0,112.0,88.0,104.0,172.0,109.0
0,13202.nii.gz,0,9.0,81.0,82.0,109.0,227.0,260.0
0,13202.nii.gz,1,17.0,108.0,97.0,108.0,216.0,260.0
0,13202.nii.gz,2,9.0,193.0,129.0,109.0,227.0,251.0
0,13202.nii.gz,3,22.0,81.0,82.0,78.0,143.0,111.0
0,13618.nii.gz,0,14.0,89.0,91.0,105.0,241.0,282.0
0,13618.nii.gz,1,14.0,125.0,91.0,103.0,228.0,282.0
0,13618.nii.gz,2,14.0,206.0,136.0,105.0,241.0,258.0
0,13618.nii.gz,3,38.0,89.0,91.0,88.0,160.0,279.0
0,05464.nii.gz,0,10.0,120.0,106.0,108.0,253.0,287.0
0,05464.nii.gz,1,15.0,134.0,116.0,106.0,237.0,287.0
0,05464.nii.gz,2,10.0,216.0,156.0,108.0,253.0,287.0
0,05464.nii.gz,3,15.0,120.0,106.0,62.0,192.0,129.0
0,11350.nii.gz,0,10.0,112.0,101.0,110.0,248.0,294.0
0,11350.nii.gz,1,12.0,131.0,109.0,109.0,234.0,285.0
0,11350.nii.gz,2,10.0,206.0,158.0,110.0,248.0,294.0
0,11350.nii.gz,3,15.0,112.0,101.0,61.0,188.0,125.0
0,05196.nii.gz,0,5.0,8.0,75.0,115.0,193.0,326.0
0,05196.nii.gz,1,16.0,71.0,85.0,110.0,184.0,250.0
0,05196.nii.gz,2,5.0,8.0,78.0,115.0,193.0,326.0
0,05196.nii.gz,3,52.0,58.0,75.0,98.0,126.0,99.0
0,08952.nii.gz,0,1.0,97.0,71.0,117.0,308.0,305.0
0,08952.nii.gz,1,1.0,97.0,71.0,116.0,283.0,305.0
0,08952.nii.gz,2,9.0,225.0,81.0,117.0,308.0,290.0
0,08952.nii.gz,3,57.0,103.0,107.0,99.0,166.0,125.0
0,08721.nii.gz,0,2.0,8.0,64.0,120.0,272.0,390.0
0,08721.nii.gz,1,6.0,126.0,94.0,111.0,248.0,280.0
0,08721.nii.gz,2,2.0,8.0,64.0,120.0,272.0,390.0
0,08721.nii.gz,3,10.0,111.0,81.0,66.0,187.0,105.0
0,00031.nii.gz,0,3.0,8.0,108.0,112.0,252.0,359.0
0,00031.nii.gz,1,10.0,133.0,125.0,106.0,238.0,303.0
0,00031.nii.gz,2,3.0,8.0,108.0,112.0,252.0,359.0
0,00031.nii.gz,3,16.0,113.0,132.0,50.0,177.0,147.0
0,14122.nii.gz,0,3.0,8.0,73.0,112.0,242.0,392.0
0,14122.nii.gz,1,13.0,127.0,80.0,112.0,229.0,251.0
0,14122.nii.gz,2,3.0,8.0,73.0,112.0,242.0,392.0
0,14122.nii.gz,3,13.0,112.0,77.0,60.0,185.0,98.0
0,02937.nii.gz,0,12.0,94.0,89.0,115.0,244.0,278.0
0,02937.nii.gz,1,17.0,114.0,105.0,110.0,232.0,278.0
0,02937.nii.gz,2,12.0,193.0,118.0,115.0,244.0,264.0
0,02937.nii.gz,3,48.0,94.0,89.0,98.0,167.0,118.0
0,02579.nii.gz,0,3.0,8.0,84.0,127.0,253.0,387.0
0,02579.nii.gz,1,22.0,123.0,84.0,125.0,234.0,293.0
0,02579.nii.gz,2,3.0,8.0,110.0,127.0,253.0,387.0
0,02579.nii.gz,3,94.0,101.0,86.0,126.0,192.0,125.0
0,14538.nii.gz,0,2.0,8.0,21.0,120.0,235.0,394.0
0,14538.nii.gz,1,7.0,96.0,65.0,117.0,220.0,259.0
0,14538.nii.gz,2,2.0,8.0,21.0,120.0,235.0,394.0
0,14538.nii.gz,3,8.0,75.0,56.0,61.0,151.0,80.0
